name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi,Laundry,Water Park,Outdoor Pool,Pet Friendly,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,wonderful Fitness Center,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,excellent Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Hawthorne 7606M Nine-Bedroom House,34795,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
Universal's Loews Sapphire Falls Resort,32819,"2,507",9.1,9.3,9.2,9.2,9.1,8.4,8.8,9.5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(6.8 miles from center)
Lancaster 371B Eight-Bedroom House,34766,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
Lancaster 7610W Eight-Bedroom House,34786,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Orlando Resort Rentals at Universal Boulevard,32819,878,9.2,9.1,9.4,9.2,8.8,9.1,9.2,9.4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(8.1 miles from center)
Hawthorne 7648W Nine-Bedroom House,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
"Premium Six Bedrooms with Private Pool, Spa and Grill (1829)",34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,(21.1 miles from center)
Madison 7502M Eight-Bedroom House,34827,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Wyndham Bonnet Creek,32830,492,8.6,8.6,8.9,8.8,8.3,8.2,8.6,9.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,(14.9 miles from center)
"Family Five Bedrooms with Pool, Spa and Grill (1843)",34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,(20.5 miles from center)
Lancaster 221L Eight-Bedroom House,34814,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Fremont II 7604M Ten-Bedroom House,34836,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Sheraton Vistana Resort Villas,32821,"2,458",8.9,8.7,9.1,8.9,8.5,8.7,8.9,9.2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(13.7 miles from center)
Biltmore 240C Eleven-Bedroom House,34831,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
Hyatt Regency Orlando International Airport Hotel,32827,"1,770",8.8,9,9,8.8,9,7.5,8.5,9.4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,(8.1 miles from center)
Hawthorne 260C Nine-Bedroom House,34794,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
Homewood Suites by Hilton Orlando Theme Parks,32821,795,9.3,9.5,9.5,9.3,9,9.1,8.9,9.3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,(9.9 miles from center)
Universal's Loews Royal Pacific Resort,32819,"1,793",9.1,9.2,9.3,9.2,9.2,8,8.7,9.6,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(6.8 miles from center)
SpringHill Suites by Marriott Orlando Lake Buena Vista in Marriott Village,32821,"4,325",8.6,8.6,8.5,8.4,8.6,8.5,8.5,9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(13 miles from center)
Biltmore 7603M Eleven-Bedroom House,34803,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Holiday Home Windsor Hills Four Bedroom 58,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,(19.3 miles from center)
Fremont I 391F Eight-Bedroom House,34846,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
Sonesta ES Suites Orlando International Drive,32819,886,8.6,8.3,8.7,8.5,8.8,8.3,8.1,9.3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(8.1 miles from center)
Fremont II 250C Ten-Bedroom House,34834,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
Lancaster 7601M Eight-Bedroom House,34806,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
WorldQuest Orlando Resort,32821,"1,086",8.5,8.2,8.8,8.4,8.6,8.4,8.4,8.8,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(14.3 miles from center)
Hawthorn Suites by Wyndham Kissimmee Gateway,34747,404,8.7,8.5,8.8,8.5,8.6,8.9,8.4,8.8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(18 miles from center)
Stafford 7576M Six-Bedroom House,34817,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
EncoreResort 4005,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
SpringHill Suites by Marriott Orlando at Millenia,32839,77,9.4,9.8,9.5,9.5,9.3,9.2,6.9,9.3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(4.3 miles from center)
Biltmore 7616B Eleven-Bedroom House,34809,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Staybridge Suites Orlando - Lake Buena Vista,32836,"2,905",9.0,8.9,9.1,9,9.1,9,9.1,9.3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(12.4 miles from center)
Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista in the Marriott Village,32821,"3,108",8.7,8.7,8.6,8.5,8.7,8.6,8.6,9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,(13 miles from center)
Four-Bedroom Villa 2833,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,(19.3 miles from center)
Essex 7604W Thirteen-Bedroom House,34808,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Fairfield Inn Suites by Marriott Orlando At SeaWorld,32821,"2,292",8.9,9,8.9,8.8,9.1,8.7,8.9,9.2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(9.3 miles from center)
"Lake Buena Vista Resort Village and Spa, a staySky Hotel & Resort",32821,"1,692",8.5,8.1,8.7,8.5,8.4,8.4,8.7,8.9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(13.7 miles from center)
Fremont II 7658W Eight-Bedroom House,34802,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
EncoreResort 4091,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(17.4 miles from center)
Sheraton Vistana Villages Resort Near Universal Blvd.,32821,"3,142",8.8,8.7,9.1,8.9,8.7,8.6,8.7,9.1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,(11.8 miles from center)
Windsor Hills Six Bedroom House with Private Pool X2EP,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,(19.3 miles from center)
Comfort Suites Maingate East,34746,"1,117",8.9,9,9,8.8,8.8,9,9.2,9.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(16.2 miles from center)
"Eight Bedrooms with Pool, Spa and Grill (1814)",34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,(20.5 miles from center)
Universal's Loews Portofino Bay Hotel,32819,580,8.9,9,9.2,9.1,8.9,7.9,9.1,9.5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(5.6 miles from center)
Windsor Hills Apartment,34747,50,9.2,8.9,9.3,9.2,8.9,9.5,9.2,9.6,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
EncoreResort 4021,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Paradise Palms 5 Bedroom-3510,34747,0,0,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(18 miles from center)
Olivia's Dream Villa in Windsor Hills,34747,10,9.3,9.3,9.8,9.5,8.8,9.3,10,9.5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Hyatt Place - Orlando Convention Center,32819,669,8.6,8.6,8.7,8.4,8.9,8.2,8.6,9.1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(8.1 miles from center)
Walt Disney World Dolphin,32830,"2,233",8.2,8.3,8.3,8.2,8.3,7.2,7.3,8.9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,(15.5 miles from center)
Staybridge Suites Orlando at SeaWorld,32821,200,9.1,8.6,9.3,9,9.2,8.9,9.4,9.3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(9.9 miles from center)
DoubleTree by Hilton at the Entrance to Universal Orlando,32819,"1,862",8.5,8.6,8.5,8.3,8.6,8,7.9,9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,(5.6 miles from center)
Lancaster 7600M Eight-Bedroom House,34758,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Waldorf Astoria Orlando,32821,474,8.8,9.1,9.2,8.9,8.9,7.8,7.2,8.8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,(15.5 miles from center)
Walt Disney World Swan,32830,"1,595",8.6,8.8,8.8,8.6,8.8,7.6,9,9.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,(15.5 miles from center)
Six-Bedroom Villa 2615,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(19.9 miles from center)
Residence Inn by Marriott Orlando at SeaWorld,32821,"1,447",8.5,8.4,8.5,8.3,8.6,8.3,8.4,8.8,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(10.6 miles from center)
Nine bedrooms with Pool and Game room (1813),34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,(20.5 miles from center)
Stafford ELITE 741L Six-Bedroom House,34793,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Hyatt House across from Universal Orlando Resort,32819,26,9.2,9.1,9.1,9.1,9.3,9.1,9.3,21,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(5.6 miles from center)
Fremont II 7615W Ten-Bedroom House,34770,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Fremont II 220C Ten-Bedroom House,34797,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
Water Oak IR700,34747,9,9.0,8.3,9.7,8.6,9.5,8.9,9.2,6,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(20.5 miles from center)
Casiola Vacation Homes,32819,524,8.9,8.9,9.1,8.9,8.4,8.8,9.3,9.2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(8.1 miles from center)
Embassy Suites by Hilton Orlando International Drive Convention Center,32819,773,8.7,8.7,8.7,8.6,8.8,8.2,7.4,9.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,(8.1 miles from center)
Kingston 241L Six-Bedroom House,34835,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
TownePlace Suites by Marriott Orlando at SeaWorld,32821,191,9.3,9.4,9.2,9.2,9.4,9.2,8.3,9.3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(9.3 miles from center)
"Ten Bedrooms with Pool, Grill and Movie Room (1820)",34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,(21.1 miles from center)
Residence Inn by Marriott Orlando at Millenia,32839,36,9.5,9.7,9.9,9.4,9.5,9,8.5,9.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(4.3 miles from center)
Hilton Grand Vacations at Tuscany Village,32821,982,8.9,8.9,9.2,8.9,8.9,8.5,8.1,9.3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,(11.8 miles from center)
Four Seasons Resort Orlando at Walt Disney World Resort,32836,271,9.3,9.6,9.6,9.6,9.4,8.1,9.4,9.3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(13 miles from center)
EncoreResort 2101,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(17.4 miles from center)
Casa de Disney,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(19.3 miles from center)
Hampton Inn Orlando Near Universal Blv/International Dr,32819,877,8.6,8.6,8.5,8.3,8.9,8.3,8.4,8.8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(6.8 miles from center)
EncoreResort 1060,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
EncoreResort 4136,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Homewood Suites by Hilton Orlando-Intl Drive/Convention Ctr,32819,585,8.7,8.7,8.7,8.6,8.7,8.4,7.6,9.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,(8.1 miles from center)
EncoreResort 1105,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Comfort Suites UCF/Research Park,32826,365,8.6,8.7,8.5,8.5,9,8.2,8.8,8.8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(10.6 miles from center)
Hyatt Place Orlando Lake Buena Vista,32836,467,8.9,9,9,8.7,8.7,8.5,9,9.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,(12.4 miles from center)
Mandrake 340P Five-Bedroom House,34829,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Hyatt Regency Orlando,32819,"1,821",8.9,9,9.1,9.1,8.9,8.1,8.7,9.1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(8.7 miles from center)
Eight Bedrooms with Private Pool and Spa (1747),34747,7,8.9,9.3,9.3,8.9,7.5,8.6,9.7,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Galleria Palms Orlando,34747,"1,074",8.6,8.6,8.4,8.3,8.7,8.6,9,8.8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(18.6 miles from center)
Summerville Resort Four Bedroom Townhome SV110,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Kissimmee Area Pool Home,34747,12,9.1,9,9.2,9.4,8.8,9.2,9,8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(18 miles from center)
Mandrake 511B Five-Bedroom House,34818,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
EncoreResort 4031,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
EncoreResort 1152,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(17.4 miles from center)
Summerville Resort Five Bedroom Townhome SV102,34747,7,9.4,9.3,8.9,9.7,9.3,9.7,9.7,6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(18.6 miles from center)
Courtyard by Marriott Orlando Lake Buena Vista in the Marriott Village,32821,"1,941",8.6,8.7,8.6,8.5,8.6,8.4,8.3,8.9,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(13 miles from center)
8 Bedrooms with Private Pool and Spa (1802),34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(20.5 miles from center)
617 · Sweet Honeymoon,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(16.2 miles from center)
Mandrake 7588M Five-Bedroom House,34840,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
"Premium Eight Bedrooms with Private Pool, Spa and Grill (1823)",34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,(20.5 miles from center)
The Point Hotel & Suites Universal Blvd,32819,799,8.8,8.6,9,8.7,8.9,8.5,8.7,9,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(6.8 miles from center)
Mandrake 421N Five-Bedroom House,34815,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
EncoreResort 4135,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(17.4 miles from center)
Paradise Palms 5 Bedroom-3500,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(18 miles from center)
SpringHill Suites by Marriott Orlando at SeaWorld,32821,"1,140",9.1,9.1,9.1,8.9,9.2,8.9,9.3,775,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,(9.3 miles from center)
Holiday Inn Orlando – Disney Springs™ Area,32830,"1,369",8.6,8.6,8.5,8.4,8.8,8.1,8.6,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(13 miles from center)
